city,year,weekofyear,total_cases
sj,1990,18,47
sj,1990,19,26
sj,1990,20,27
sj,1990,21,21
sj,1990,22,21
sj,1990,23,26
sj,1990,24,34
sj,1990,25,37
sj,1990,26,17
sj,1990,27,19
sj,1990,28,25
sj,1990,29,18
sj,1990,30,21
sj,1990,31,17
sj,1990,32,17
sj,1990,33,16
sj,1990,34,16
sj,1990,35,15
sj,1990,36,23
sj,1990,37,16
sj,1990,38,17
sj,1990,39,12
sj,1990,40,17
sj,1990,41,10
sj,1990,42,15
sj,1990,43,19
sj,1990,44,21
sj,1990,45,14
sj,1990,46,18
sj,1990,47,13
sj,1990,48,14
sj,1990,49,18
sj,1990,50,23
sj,1990,51,25
sj,1990,52,62
sj,1991,1,60
sj,1991,2,76
sj,1991,3,66
sj,1991,4,64
sj,1991,5,68
sj,1991,6,89
sj,1991,7,92
sj,1991,8,140
sj,1991,9,116
sj,1991,10,142
sj,1991,11,129
sj,1991,12,140
sj,1991,13,140
sj,1991,14,127
sj,1991,15,129
sj,1991,16,169
sj,1991,17,141
sj,1991,18,108
sj,1991,19,78
sj,1991,20,70
sj,1991,21,81
sj,1991,22,104
sj,1991,23,90
sj,1991,24,85
sj,1991,25,55
sj,1991,26,53
sj,1991,27,65
sj,1991,28,33
sj,1991,29,38
sj,1991,30,59
sj,1991,31,40
sj,1991,32,37
sj,1991,33,29
sj,1991,34,30
sj,1991,35,30
sj,1991,36,28
sj,1991,37,23
sj,1991,38,24
sj,1991,39,29
sj,1991,40,26
sj,1991,41,23
sj,1991,42,20
sj,1991,43,19
sj,1991,44,20
sj,1991,45,26
sj,1991,46,29
sj,1991,47,31
sj,1991,48,28
sj,1991,49,26
sj,1991,50,32
sj,1991,51,35
sj,1991,52,33
sj,1992,1,30
sj,1992,2,52
sj,1992,3,59
sj,1992,4,67
sj,1992,5,65
sj,1992,6,74
sj,1992,7,70
sj,1992,8,61
sj,1992,9,53
sj,1992,10,76
sj,1992,11,61
sj,1992,12,57
sj,1992,13,44
sj,1992,14,34
sj,1992,15,47
sj,1992,16,60
sj,1992,17,60
sj,1992,18,53
sj,1992,19,36
sj,1992,20,31
sj,1992,21,30
sj,1992,22,32
sj,1992,23,28
sj,1992,24,33
sj,1992,25,33
sj,1992,26,35
sj,1992,27,22
sj,1992,28,13
sj,1992,29,13
sj,1992,30,21
sj,1992,31,17
sj,1992,32,11
sj,1992,33,8
sj,1992,34,8
sj,1992,35,6
sj,1992,36,6
sj,1992,37,7
sj,1992,38,12
sj,1992,39,17
sj,1992,40,10
sj,1992,41,10
sj,1992,42,18
sj,1992,43,19
sj,1992,44,12
sj,1992,45,22
sj,1992,46,12
sj,1992,47,21
sj,1992,48,18
sj,1992,49,16
sj,1992,50,16
sj,1992,51,22
sj,1992,52,17
sj,1993,53,25
sj,1993,1,23
sj,1993,2,12
sj,1993,3,25
sj,1993,4,28
sj,1993,5,27
sj,1993,6,18
sj,1993,7,23
sj,1993,8,23
sj,1993,9,29
sj,1993,10,38
sj,1993,11,36
sj,1993,12,43
sj,1993,13,46
sj,1993,14,31
sj,1993,15,25
sj,1993,16,40
sj,1993,17,31
sj,1993,18,38
sj,1993,19,30
sj,1993,20,22
sj,1993,21,31
sj,1993,22,26
sj,1993,23,35
sj,1993,24,36
sj,1993,25,39
sj,1993,26,25
sj,1993,27,31
sj,1993,28,37
sj,1993,29,33
sj,1993,30,25
sj,1993,31,24
sj,1993,32,18
sj,1993,33,23
sj,1993,34,13
sj,1993,35,18
sj,1993,36,14
sj,1993,37,17
sj,1993,38,22
sj,1993,39,13
sj,1993,40,24
sj,1993,41,31
sj,1993,42,34
sj,1993,43,31
sj,1993,44,31
sj,1993,45,38
sj,1993,46,49
sj,1993,47,42
sj,1993,48,49
sj,1993,49,55
sj,1993,50,80
sj,1993,51,84
sj,1994,52,72
sj,1994,1,89
sj,1994,2,115
sj,1994,3,179
sj,1994,4,202
sj,1994,5,272
sj,1994,6,302
sj,1994,7,395
sj,1994,8,426
sj,1994,9,461
sj,1994,10,381
sj,1994,11,333
sj,1994,12,353
sj,1994,13,410
sj,1994,14,364
sj,1994,15,359
sj,1994,16,288
sj,1994,17,221
sj,1994,18,149
sj,1994,19,112
sj,1994,20,154
sj,1994,21,91
sj,1994,22,72
sj,1994,23,56
sj,1994,24,46
sj,1994,25,37
sj,1994,26,26
sj,1994,27,17
sj,1994,28,17
sj,1994,29,20
sj,1994,30,11
sj,1994,31,7
sj,1994,32,16
sj,1994,33,14
sj,1994,34,16
sj,1994,35,5
sj,1994,36,2
sj,1994,37,6
sj,1994,38,5
sj,1994,39,4
sj,1994,40,3
sj,1994,41,4
